,date_beach_address,height_low_tide_max,height_low_tide_min,height_low_tide_mean,date,beach_address,beach_name,country_state,country,latitude,longitude
10,2020-04-27|200 km east of Coolangatta Queensland AUSTRALIA,-0.46777007377317753,-0.510006431290932,-0.4888882525320548,2020-04-27,200 km east of Coolangatta Queensland AUSTRALIA,200 km east of Coolangatta,Queensland,AUSTRALIA,-28.166666999999997,153.533333
11,2020-04-27|200 miles offshore Queensland AUSTRALIA,-1.0335381465370435,-1.0335381465370435,-1.0335381465370435,2020-04-27,200 miles offshore Queensland AUSTRALIA,200 miles offshore,Queensland,AUSTRALIA,-20.9175738,142.7027956
12,2020-04-27|26 nautical miles out to sea off Lake Macquarie New South Wales AUSTRALIA,-0.4473995498314624,-0.514644861444891,-0.48102220563817666,2020-04-27,26 nautical miles out to sea off Lake Macquarie New South Wales AUSTRALIA,26 nautical miles out to sea off Lake Macquarie,New South Wales,AUSTRALIA,-31.433333,152.9
13,2020-04-27|3 km off Port Victoria Yorke Peninsula South Australia AUSTRALIA,-0.43888124378545645,-0.43888124378545645,-0.43888124378545645,2020-04-27,3 km off Port Victoria Yorke Peninsula South Australia AUSTRALIA,3 km off Port Victoria,South Australia,AUSTRALIA,-34.496666999999995,137.48333300000002
14,2020-04-27|3 km west of Rottnest Island Western Australia AUSTRALIA,-0.20342640804870776,-0.20342640804870776,-0.20342640804870776,2020-04-27,3 km west of Rottnest Island Western Australia AUSTRALIA,3 km west of Rottnest Island,Western Australia,AUSTRALIA,-32.0063677,115.5073002
15,2020-04-27|3 miles out to sea off Glenelg South Australia AUSTRALIA,-0.8216478815419594,-1.0294055684798038,-0.9255267250108816,2020-04-27,3 miles out to sea off Glenelg South Australia AUSTRALIA,3 miles out to sea off Glenelg,South Australia,AUSTRALIA,-34.982,138.516
16,2020-04-27|5 miles south of Sussex Inlet at mouth of Berara Lake New South Wales AUSTRALIA,-0.3337830018994365,-0.5246054798654024,-0.4291942408824194,2020-04-27,5 miles south of Sussex Inlet at mouth of Berara Lake New South Wales AUSTRALIA,5 miles south of Sussex Inlet at mouth of Berara Lake,New South Wales,AUSTRALIA,-35.206926200000005,150.5515985
17,2020-04-27|5 nm off Cervantes Western Australia AUSTRALIA,-1.0827667168252997,-2.1818824131654573,-1.6323245649953786,2020-04-27,5 nm off Cervantes Western Australia AUSTRALIA,5 nm off Cervantes,Western Australia,AUSTRALIA,34.5199402,-105.87009009999998
18,2020-04-27|50 km east of Townsville Queensland AUSTRALIA,-0.1396391170338417,-0.6702045445780532,-0.40492183080594746,2020-04-27,50 km east of Townsville Queensland AUSTRALIA,50 km east of Townsville,Queensland,AUSTRALIA,-19.2589635,146.8169483
19,2020-04-27|55 miles south of Adelaide South Australia AUSTRALIA,-0.8216478815419594,-1.0294055684798038,-0.9255267250108816,2020-04-27,55 miles south of Adelaide South Australia AUSTRALIA,55 miles south of Adelaide,South Australia,AUSTRALIA,-34.9284989,138.6007456
20,2020-04-27|6 km off Collendina south of Melbourne Victoria AUSTRALIA,-0.05599107678193013,-0.3929429686686161,-0.22446702272527314,2020-04-27,6 km off Collendina south of Melbourne Victoria AUSTRALIA,6 km off Collendina,Victoria,AUSTRALIA,-37.835,144.96
21,2020-04-27|7 Mile Beach Gerroa New South Wales AUSTRALIA,-0.35296669287230753,-0.5281508768056099,-0.4405587848389587,2020-04-27,7 Mile Beach Gerroa New South Wales AUSTRALIA,7 Mile Beach,New South Wales,AUSTRALIA,-34.7699,150.813133
22,2020-04-27|7 km off Trigg surf beach Perth Western Australia AUSTRALIA,-0.11757071972446338,-0.20425225353274457,-0.16091148662860397,2020-04-27,7 km off Trigg surf beach Perth Western Australia AUSTRALIA,7 km off Trigg surf beach,Western Australia,AUSTRALIA,-31.8744999,115.7531233
23,2020-04-27|A pearl farm in Roebuck Bay Western Australia AUSTRALIA,-3.325809506256736,-3.6301638999625423,-3.4779867031096394,2020-04-27,A pearl farm in Roebuck Bay Western Australia AUSTRALIA,A pearl farm in Roebuck Bay,Western Australia,AUSTRALIA,-18.0858333,122.28305559999998
24,2020-04-27|Adelaide South Australia AUSTRALIA,-0.8216478815419594,-1.0294055684798038,-0.9255267250108816,2020-04-27,Adelaide South Australia AUSTRALIA,Adelaide,South Australia,AUSTRALIA,-34.9284989,138.6007456
25,2020-04-27|African Reef off Geraldton Western Australia AUSTRALIA,-0.07272133331825455,-0.25092684265435805,-0.1476836513807866,2020-04-27,African Reef off Geraldton Western Australia AUSTRALIA,African Reef off Geraldton,Western Australia,AUSTRALIA,-28.802443,114.61852209999999
26,2020-04-27|Albany Western Australia AUSTRALIA,-0.175302767664588,-0.1765019922949707,-0.17590237997977937,2020-04-27,Albany Western Australia AUSTRALIA,Albany,Western Australia,AUSTRALIA,-35.0269344,117.8837206
27,2020-04-27|Albany incident took place 200 metres from swimmers Western Australia AUSTRALIA,-0.175302767664588,-0.1765019922949707,-0.17590237997977937,2020-04-27,Albany incident took place 200 metres from swimmers Western Australia AUSTRALIA,Albany (incident took place 200 metres from swimmers),Western Australia,AUSTRALIA,-35.0269344,117.8837206
