state,Date_Location,height_high_tide_max,height_high_tide_min,height_high_tide_mean
HIGH TIDE,1961.12.28_-21.074_149.228,1.4846944521548056,0.7861441821258351,1.1354193171403204
HIGH TIDE,1962.01.02_-38.294_147.147,0.4609603568396539,0.11913738131049982,0.2900488690750769
HIGH TIDE,1962.01.07_-26.783_153.133,0.46672338386675066,0.46672338386675066,0.46672338386675066
HIGH TIDE,1962.01.07_-33.869_151.209,0.9626697805340699,0.4314106898171964,0.6970402351756332
HIGH TIDE,1962.01.08_-34.542_150.858,0.9658525511355909,0.43935723889713074,0.7026048950163608
HIGH TIDE,1962.01.11_-35.05_138.516,0.7129379510745852,0.4098605721942193,0.5613992616344022
HIGH TIDE,1962.01.14_-28.8_153.583,0.5580251154636253,0.42199511504617626,0.4900101152549008
HIGH TIDE,1962.01.14_-33.742_151.317,0.506076302930872,0.37036376492282075,0.4382200339268464
HIGH TIDE,1962.01.21_-34.057_151.152,0.759849836210927,0.3197631855657688,0.539806510888348
HIGH TIDE,1962.02.04_-28.164_153.548,1.1169984841973357,0.472123588708777,0.7945610364530564
HIGH TIDE,1962.02.15_-27.179_153.373,0.8390917713690201,0.4120972743728121,0.6255945228709161
HIGH TIDE,1962.03.25_-33.282_151.579,0.5765551231431293,0.4419751256425961,0.5092651243928628
HIGH TIDE,1962.04.20_-28.044_153.437,0.7257245081926202,0.7257245081926202,0.7257245081926202
HIGH TIDE,1962.10.14_-38.173_144.873,0.24242529743369065,0.24242529743369065,0.24242529743369065
HIGH TIDE,1962.11.10_-34.674_150.844,0.7216034187476389,0.6514473672004673,0.6865253929740531
HIGH TIDE,1962.11.25_-19.259_146.817,0.9892001319698411,0.772893356114771,0.881046744042306
HIGH TIDE,1962.11.29_-33.869_151.209,0.7595765747488386,0.317044746911568,0.5383106608302033
HIGH TIDE,1963.01.26_-29.109_153.422,0.4184264048314818,0.4184264048314818,0.4184264048314818
HIGH TIDE,1963.01.28_-33.783_151.223,0.8923695819918068,0.47001706604429627,0.6811933240180515
HIGH TIDE,1963.02.24_-34.279_150.956,0.9059375489805122,0.5311527510509519,0.718545150015732
HIGH TIDE,1963.04.13_-33.673_115.031,0.2546127205957476,-0.13931823666535,-0.001472266600996891
HIGH TIDE,1963.04.22_-29.432_153.365,0.8291775689114318,0.7873314873502534,0.8082545281308426
