Date_Location,timestamp,datetime,datum,LAT,HAT
2014.10.02_-33.836_121.984,1412179200,2014-10-01T16:00:00+00:00,MSL,-0.5076144409179687,0.6444322967529297
2014.09.09_-28.64_153.627,1410184800,2014-09-08T14:00:00+00:00,MSL,-0.8891409301757812,1.1658721160888672
2014.06.18_-35.514_138.708,1403015400,2014-06-17T14:30:00+00:00,MSL,-0.5677129745483398,0.7340298461914062
2014.06.18_-35.514_138.708,1403015400,2014-06-17T14:30:00+00:00,MSL,-0.5677129745483398,0.7340298461914062
2014.06.17_-17.947_122.231,1402934400,2014-06-16T16:00:00+00:00,MSL,-4.810763854980468,4.874821472167969
2014.06.09_-35.631_138.467,1402237800,2014-06-08T14:30:00+00:00,MSL,-0.5263260269165039,0.7015009307861328
2014.06.01_-34.77_150.813,1401544800,2014-05-31T14:00:00+00:00,MSL,-0.8547678375244141,1.0267119598388672
2014.05.27_-27.997_153.42,1401112800,2014-05-26T14:00:00+00:00,MSL,-0.8968395233154297,1.1862823486328125
2014.05.22_-32.771_151.999,1400680800,2014-05-21T14:00:00+00:00,MSL,-0.8730878448486328,1.0808245849609375
2014.05.14_-34.333_135.75,1399991400,2014-05-13T14:30:00+00:00,MSL,-0.6303927993774414,0.9010382080078125
2014.04.03_-36.736_149.967,1396443600,2014-04-02T13:00:00+00:00,MSL,-0.8274745178222657,0.9729739379882812
2014.03.29_-32.607_115.64,1396022400,2014-03-28T16:00:00+00:00,MSL,-0.43359607696533203,0.4594403076171875
2014.03.18_-38.368_144.285,1395061200,2014-03-17T13:00:00+00:00,MSL,-1.4305735778808595,1.2872817993164063
2014.03.18_-28.8_153.583,1395061200,2014-03-17T13:00:00+00:00,MSL,-0.8868402099609375,1.1673131561279297
2014.03.12_-31.479_152.93,1394542800,2014-03-11T13:00:00+00:00,MSL,-0.8706361389160157,1.1227922058105468
2014.02.08_-35.152_137.685,1391779800,2014-02-07T13:30:00+00:00,MSL,-0.870048828125,1.0813949584960938
2014.01.26_-33.529_151.308,1390654800,2014-01-25T13:00:00+00:00,MSL,-0.8662629699707032,1.0545095825195312
